scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
cologne,2,vehev2,allgreen,6479,182.07,3978.72,546.00,363.93,11.360740374581205,91.19775677439628,False,548.4074074074074,7638,5.24,942.19,22.716627634660448,35.876652102304426,73.45243474331792
cologne,2,vehev6,no-preemption,15239,855.79,22987.16,1313.00,457.21000000000004,,,False,,11774,6.31,1338.70,,,
cologne,2,vehev3,no-preemption,14368,3169.80,20010.24,3627.00,457.1999999999998,,,False,,44499,3.80,1984.52,,,
cologne,2,vehev2,rfid,32668,1321.66,4413.69,1685.00,363.3399999999999,1.5698212853532678,36.2984812774428,False,203.7037037037037,18896,4.66,1220.11,8.878504672897192,16.97503351320455,34.40710913635101
cologne,2,vehev5,fuzzy,32668,1595.46,39091.37,1838.00,242.53999999999996,,,False,40.74074074074074,16993,6.01,1480.76,,,
cologne,2,vehev1,rfid,20276,6057.55,105591.85,6589.00,531.4499999999998,1.9281574233807397,48.137014754394514,False,202.69230769230768,73937,3.35,3354.03,5.0156739811912265,35.78591667943023,24.48395959513425
cologne,2,vehev2,allgreen,11718,79.43,13961.67,443.00,363.57,73.84640564018632,98.64583795063437,False,445.22222222222223,6857,5.27,915.19,57.31343283582089,71.50219216301721,90.35949779971037
cologne,2,vehev2,rfid,24847,1106.98,67126.12,1471.00,364.02,1.6813944244701802,40.525555131711144,False,203.7037037037037,16170,4.78,1162.67,8.883826879271094,16.387158945445645,37.181927664037914
cologne,2,vehev3,no-preemption,24847,12188.61,38197.58,12646.00,457.3899999999994,,,False,,100382,3.18,5347.60,,,
cologne,2,vehev3,kapusta2,22570,3097.93,44200.19,3555.00,457.07000000000016,3.530005519814844,71.67143239899376,False,1352.4583333333333,45085,3.79,1956.58,18.068535825545172,60.90210238774176,53.14675867229231
cologne,2,vehev6,fuzzy,30616,614.95,16201.94,920.00,305.04999999999995,1.5491665989104804,35.44916339512522,False,44.291666666666664,8585,6.52,1236.84,4.153354632587858,9.38303624414798,31.924510348108793
cologne,2,vehev4,kapusta2,25029,428.51,23936.12,960.00,531.49,3.462206249562437,71.11668318066312,False,215.53846153846155,9022,6.49,1251.21,9.628378378378377,18.07538942033825,51.97487490684553
cologne,2,vehev3,fuzzy,16250,2366.79,63868.75,2672.00,305.21000000000004,4.459390144457261,77.57540902217455,False,44.291666666666664,31460,4.17,1554.18,30.72100313479624,68.7415401757431,67.21516480997091
cologne,2,vehev3,tpnx,32668,1716.72,29705.61,2174.00,457.28,2.39991961414791,58.3319376988779,False,654.0833333333334,25337,4.42,1371.65,25.568181818181813,44.377760025304035,55.443594478150004
cologne,2,vehev2,no-preemption,22760,2060.76,46444.42,2424.00,363.2399999999998,,,False,,28518,4.27,1464.84,,,
cologne,2,vehev4,kapusta2,27226,1342.23,38965.05,1873.00,530.77,-1.2160634201585505,-21.606342015855052,False,365.5769230769231,17031,6.00,1490.28,-2.1207177814029365,-4.421306352387222,-17.261085100523267
cologne,2,vehev1,tpnx,22737,1245.11,34317.27,1776.00,530.8900000000001,3.663716458786774,72.70531136213674,False,457.0769230769231,19882,4.59,1249.24,31.14285714285714,53.619680189495334,67.8248345281828
cologne,2,vehev6,rfid,32668,664.06,15070.57,1121.00,456.94000000000005,1.432897629732253,30.21134383571722,False,221.45833333333334,10014,6.42,1289.43,2.5559105431310014,5.371270053279698,20.33412887828162
cologne,2,vehev3,kapustaimp,30616,919.18,3541.42,1376.00,456.82000000000005,5.944515764050567,83.17777192134815,False,213.5,15261,4.83,1141.85,43.75,63.05015419364651,78.11917529320678
cologne,2,vehev3,no-preemption,10105,16215.85,114668.43,16673.00,457.14999999999964,,,False,,108077,3.12,6349.07,,,
cologne,2,vehev6,kapusta2,6325,169.06,9798.39,626.00,456.94,5.061398320123033,80.24261406133134,False,216.375,6520,6.66,1162.56,5.546751188589538,13.162730246941246,44.02953043179673
cologne,2,vehev1,kapustaimp,10105,13835.41,33339.74,14367.00,531.5900000000001,-2.101445070901734,-110.14450709017338,False,3439.9615384615386,104385,3.12,5900.94,-4.294478527607348,-64.35235989104338,-33.626483351895246
cologne,2,vehev1,kapusta2,11718,16973.76,150870.74,17505.00,531.2400000000016,-2.9136701021017717,-191.36701021017717,False,2743.5,107756,3.16,6499.23,-6.231454005934722,-99.14297095232259,-48.986533196913975
cologne,2,vehev3,tpnx,27226,6553.32,71099.19,7011.00,457.6800000000003,-1.1024711441890511,-10.247114418905113,False,1048.625,78642,3.26,3561.84,-3.5502958579881727,-9.792365358058808,-8.599047158737827
cologne,2,vehev6,kapustaimp,30616,37.89,15956.63,495.00,457.11,25.142781736605965,96.02271534440409,False,65.45833333333333,5405,6.77,1125.86,8.146964856230031,17.513975280421434,57.14059154706208
cologne,2,vehev5,no-preemption,4771,2034.25,51981.64,2398.00,363.75,,,False,,22530,5.72,1630.21,,,
cologne,2,vehev2,fuzzy,21907,1844.17,71110.75,2087.00,242.82999999999993,1.0538290938470964,5.1079529082451725,False,40.69230769230769,23997,4.45,1345.04,2.771362586605086,5.118510158013545,9.380310411238247
cologne,2,vehev3,tpnx,10105,9840.54,26250.18,10298.00,457.4599999999991,1.647861804331876,39.31529953718121,False,1080.5416666666667,93925,3.18,4736.72,1.9230769230769162,25.39505785886751,13.094367904364479
cologne,2,vehev6,fuzzy,6479,714.63,16758.97,1020.00,305.37,1.3317101157242208,24.908582716879625,False,44.291666666666664,9236,6.46,1261.80,3.6918138041733384,7.683528189520194,28.712565606668726
cologne,2,vehev5,allgreen,22570,31.46,14418.60,395.00,363.54,69.53814367450731,98.5619403292087,False,397.5925925925926,5112,6.80,1104.32,19.929453262786588,33.90550747537138,78.79278158058494
cologne,2,vehev5,tpnx,22737,45.95,18267.76,410.00,364.05,48.67638737758433,97.94561582345261,False,132.8148148148148,5042,6.81,1104.73,20.318021201413416,34.204664570230605,79.65951266741972
cologne,2,vehev6,fuzzy,15239,405.34,14395.28,711.00,305.66,2.1112892880051315,52.635576484885306,False,44.291666666666664,6942,6.63,1183.24,5.071315372424734,11.612758646448052,41.03957873280108
cologne,2,vehev1,kapusta2,15239,8526.75,97916.48,9058.00,531.25,1.5142393057143695,33.960240219214754,False,1814.2307692307693,91076,3.17,4380.87,2.2580645161290214,23.77251135355223,12.28945366295251
cologne,2,vehev3,kapusta2,27548,3713.10,68342.49,4170.00,456.9000000000001,-1.0478474975660002,-4.784749756600015,False,1764.5833333333333,53686,3.61,2269.45,-2.168021680216803,-4.3257406854069425,-9.478363717933025
cologne,2,vehev4,kapusta2,10105,1476.79,42197.20,2008.00,531.21,1.264871782717922,20.940603335207054,False,400.6923076923077,19263,5.93,1524.92,3.4904013961605473,6.441459957911788,13.560691047789996
cologne,2,vehev5,no-preemption,22737,2236.68,53373.07,2600.00,363.32000000000016,,,False,,24788,5.66,1679.04,,,
cologne,2,vehev1,rfid,30616,8116.20,112780.29,8648.00,531.8000000000002,-1.6410453419602689,-64.10453419602689,False,202.69230769230768,86570,3.25,4132.62,-4.970760233918126,-42.805013321169774,-31.242230375064437
cologne,2,vehev4,kapusta2,22737,1150.03,34769.46,1681.00,530.97,1.707494587097728,41.4346606099803,False,340.3076923076923,15663,6.09,1441.67,6.654991243432562,12.783051114055299,32.45213041228221
cologne,2,vehev3,kapusta2,32668,7108.97,27181.81,7566.00,457.02999999999975,-1.7254823434037463,-72.54823434037463,False,2923.5416666666665,80813,3.29,3761.25,-6.5340909090909065,-52.52371239370479,-42.113778246724706
cologne,2,vehev2,tpnx,17651,83.81,1805.20,447.00,363.19,22.370003579525115,95.5297280286746,False,170.66666666666666,6532,5.31,909.76,22.35023041474653,35.02549672185005,75.47495682210707
