scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
cologne,1,vehev2,allgreen,6479,39.54,3603.48,403.00,363.46,37.86165907941325,97.35880565111385,False,405.5925925925926,5848
cologne,1,vehev6,no-preemption,15239,1529.59,9473.91,1987.00,457.4100000000001,,,False,,17510
cologne,1,vehev3,no-preemption,14368,2216.01,10497.10,2673.00,456.9899999999998,,,False,,30281
cologne,1,vehev2,rfid,32668,808.62,3340.75,1172.00,363.38,1.2468526625609062,19.79806195015027,False,203.7037037037037,12058
cologne,1,vehev5,fuzzy,32668,1314.93,5874.27,1558.00,243.06999999999994,1.2064216346117282,17.110239794245942,False,40.69230769230769,13531
cologne,1,vehev6,tpn4,32668,38.39,8024.47,496.00,457.61,112.31753060692888,99.1096670354162,False,127.95833333333333,5616
cologne,1,vehev1,rfid,20276,11385.83,20866.91,11917.00,531.1700000000001,1.1896743583910878,15.943384595394905,False,202.69230769230768,95034
cologne,1,vehev2,allgreen,11718,45.39,3847.56,409.00,363.61,22.231989424983478,95.50197698962452,False,411.5925925925926,5953
cologne,1,vehev2,rfid,24847,1018.15,3733.94,1382.00,363.85,1.471659382212837,32.04949378324445,False,203.7037037037037,14059
cologne,1,vehev3,no-preemption,24847,1922.71,13043.18,2380.00,457.28999999999996,,,False,,26221
cologne,1,vehev3,kapusta2,22570,3966.94,14901.34,4424.00,457.05999999999995,-1.8814395340675185,-88.14395340675185,False,1875.625,52909
cologne,1,vehev6,fuzzy,30616,3351.37,10944.30,3657.00,305.6300000000001,-1.9466713909815927,-94.66713909815927,False,44.291666666666664,36400
cologne,1,vehev4,kapusta2,25029,276.29,3062.25,807.00,530.71,2.647978573238264,62.23534396741432,False,191.07692307692307,7701
cologne,1,vehev3,fuzzy,16250,1209.82,13567.60,1515.00,305.18000000000006,1.668744110694153,40.074694880329695,False,44.291666666666664,15382
cologne,1,vehev2,no-preemption,22760,1400.52,9601.91,1764.00,363.48,,,False,,18202
