scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
cologne,2,vehev2,allgreen,6479,47.58,4204.70,411.00,363.42,29.172341319882303,96.57209550294664,False,413.5925925925926,2560
cologne,2,vehev6,no-preemption,15239,10359.97,27056.93,10817.00,457.03000000000065,,,False,,67186
cologne,2,vehev3,no-preemption,14368,2791.12,16567.99,3248.00,456.8800000000001,,,False,,20497
cologne,2,vehev2,rfid,32668,872.52,8815.68,1236.00,363.48,1.1506326502544355,13.091289406842977,False,203.7037037037037,5786
cologne,2,vehev5,fuzzy,32668,475.91,4353.51,719.00,243.08999999999997,42.47546805068185,97.645699868906,False,40.74074074074074,3006
cologne,2,vehev6,tpn4,32668,52.79,3721.89,510.00,457.21,32.67834817200227,96.93986980389428,False,175.08333333333334,2401
cologne,2,vehev1,rfid,20276,40386.72,95977.43,40918.00,531.2799999999988,1.0807607054992334,7.472579738354545,False,202.69230769230768,108076
cologne,2,vehev2,allgreen,11718,29.79,4184.80,393.00,363.21,37.01611278952669,97.29847376010011,False,395.5925925925926,2415
cologne,2,vehev2,rfid,24847,,3011.57,,,,,True,201.36363636363637,1200
cologne,2,vehev3,no-preemption,24847,2122.24,14656.12,2579.00,456.7600000000002,,,False,,15114
cologne,2,vehev3,kapusta2,22570,7006.53,28449.63,7464.00,457.47000000000025,-1.6269284354246967,-62.69284354246967,False,2815.6666666666665,49671
cologne,2,vehev6,fuzzy,30616,6938.94,32383.41,7244.00,305.0600000000004,-1.7665101004315116,-76.65101004315116,False,44.291666666666664,49061
cologne,2,vehev4,kapusta2,25029,661.67,4608.07,1193.00,531.33,1.1183369353303008,10.581510061218701,False,242.0,5266
cologne,2,vehev3,fuzzy,16250,1964.97,13057.75,2270.00,305.03,1.0238120683776342,2.3258241539746316,False,44.291666666666664,12566
cologne,2,vehev2,no-preemption,22760,,4785.85,,,,,True,,1793
cologne,2,vehev4,kapusta2,27226,493.48,5642.78,1025.00,531.52,1.477081138040042,32.29891207419296,False,252.42307692307693,4228
cologne,2,vehev6,tpn4,27548,35.55,3532.85,493.00,457.45,191.71814345991564,99.4784009578055,False,136.0,2258
cologne,2,vehev6,rfid,32668,3071.90,19515.03,3529.00,457.0999999999999,-1.7807186871409608,-78.07186871409608,False,221.45833333333334,22904
cologne,2,vehev3,kapustaimp,30616,1593.62,12265.29,2051.00,457.3800000000001,2.346682396054266,57.386649267859625,False,246.95833333333334,11263
cologne,2,vehev3,no-preemption,10105,4602.86,22755.50,5060.00,457.1400000000003,,,False,,34833
cologne,2,vehev6,kapusta2,6325,152.97,4048.45,610.00,457.03,30.75825325227169,96.74884008594947,False,215.70833333333334,2707
cologne,2,vehev1,kapustaimp,10105,2053.41,15507.98,2585.00,531.5900000000001,7.85746636083393,87.27325127366034,False,440.3076923076923,15694
cologne,2,vehev6,tpn4,24847,35.04,4192.49,492.00,456.96,145.0662100456621,99.31065959489447,False,141.04166666666666,2257
cologne,2,vehev1,kapusta2,11718,11757.31,41252.31,12289.00,531.6900000000005,3.7235932368883704,73.14422020930374,False,2254.423076923077,69300
cologne,2,vehev6,kapustaimp,30616,135.70,3877.12,593.00,457.3,28.946573323507742,96.54535965682717,False,92.04166666666667,2675
cologne,2,vehev5,no-preemption,4771,2918.96,12857.04,3283.00,364.03999999999996,,,False,,21078
cologne,2,vehev2,fuzzy,21907,1034.09,8227.91,1277.00,242.91000000000008,1.1606146466941951,13.838757519705391,False,40.74074074074074,6201
cologne,2,vehev1,tpn4,22570,1339.43,13656.26,1871.00,531.5699999999999,19.861202153154697,94.96505804488193,False,726.2692307692307,10039
cologne,2,vehev6,fuzzy,6479,2017.83,11464.91,2323.00,305.1700000000001,2.8981182755732644,65.49485200695632,False,44.291666666666664,12490
cologne,2,vehev5,allgreen,22570,20.65,3208.65,384.00,363.35,123.01646489104117,99.18710068535482,False,386.5925925925926,2059
cologne,2,vehev6,fuzzy,15239,3233.31,14102.37,3539.00,305.69000000000005,3.2041375556318448,68.7903536400202,False,44.291666666666664,23551
cologne,2,vehev1,kapusta2,15239,25658.58,66485.26,26190.00,531.4199999999983,-2.0869864395309796,-108.69864395309796,False,4581.0,98600
cologne,2,vehev3,kapusta2,27548,12023.65,45389.25,12481.00,457.35000000000036,-1.4239450964601665,-42.39450964601665,False,5458.541666666667,72875
cologne,2,vehev5,tpn4,16993,27.06,3304.34,391.00,363.94,104.71581670362158,99.04503442605017,False,131.11111111111111,1926
cologne,2,vehev4,kapusta2,10105,389.06,5104.62,920.00,530.94,1.887163933583509,47.010432840293106,False,223.53846153846155,3795
cologne,2,vehev5,no-preemption,22737,5240.96,18740.59,5605.00,364.03999999999996,,,False,,38419
cologne,2,vehev1,rfid,30616,29104.49,92723.71,29636.00,531.5099999999984,1.1170970527227928,10.482263151387128,False,202.69230769230768,99149
