scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
colognekap,1,vehev2,allgreen,6479,39.54,8461.94,403.00,363.46,37.86165907941325,97.35880565111385,False,405.5925925925926
colognekap,1,vehev6,no-preemption,15239,1731.48,7069.98,2189.00,457.52,,,False,
colognekap,1,vehev3,no-preemption,14368,2216.01,8561.10,2673.00,456.9899999999998,,,False,
colognekap,1,vehev2,rfid,32668,808.62,9923.91,1172.00,363.38,1.2468526625609062,19.79806195015027,False,203.7037037037037
colognekap,1,vehev5,fuzzy,32668,629.07,8775.39,872.00,242.92999999999995,3.743701018964503,73.2884652130528,False,40.74074074074074
colognekap,1,vehev1,rfid,20276,11385.83,31912.21,11917.00,531.1700000000001,1.1896743583910878,15.943384595394905,False,202.69230769230768
colognekap,1,vehev2,allgreen,11718,45.39,5525.92,409.00,363.61,22.231989424983478,95.50197698962452,False,411.5925925925926
colognekap,1,vehev2,rfid,24847,1018.15,16838.64,1382.00,363.85,1.471659382212837,32.04949378324445,False,203.7037037037037
colognekap,1,vehev3,no-preemption,24847,1922.71,10460.25,2380.00,457.28999999999996,,,False,
colognekap,1,vehev3,kapusta2,22570,3966.94,15045.80,4424.00,457.05999999999995,-1.8814395340675185,-88.14395340675185,False,1875.625
colognekap,1,vehev6,fuzzy,30616,1196.60,6622.65,1502.00,305.4000000000001,2.0048387096774194,50.120675784392596,False,44.291666666666664
colognekap,1,vehev4,kapusta2,25029,440.57,3211.27,972.00,531.4300000000001,1.6572621830810086,39.65951735283644,False,249.46153846153845
colognekap,1,vehev3,fuzzy,16250,1209.82,6594.34,1515.00,305.18000000000006,1.668744110694153,40.074694880329695,False,44.291666666666664
colognekap,1,vehev2,no-preemption,22760,1400.52,13327.40,1764.00,363.48,,,False,
colognekap,1,vehev4,kapusta2,27226,275.04,3506.55,806.00,530.96,2.6480511925538104,62.236379613356775,False,207.96153846153845
colognekap,1,vehev6,rfid,32668,1684.00,8833.93,2141.00,457.0,1.5382363420427552,34.99048405838503,False,221.45833333333334
colognekap,1,vehev3,kapustaimp,30616,918.39,5964.68,1376.00,457.61,2.194383649647753,54.42911725301445,False,151.20833333333334
colognekap,1,vehev3,no-preemption,10105,2507.88,12671.79,2965.00,457.1199999999999,,,False,
colognekap,1,vehev6,kapusta2,6325,282.64,3460.26,740.00,457.36,6.086682705915653,83.57068951486333,False,229.33333333333334
colognekap,1,vehev1,kapustaimp,10105,1469.42,9029.58,2001.00,531.5799999999999,4.487124171441793,77.71401098359438,False,375.03846153846155
colognekap,1,vehev1,kapusta2,11718,2949.87,14984.04,3481.00,531.1300000000001,6.185567499584727,83.83333461210898,False,823.9615384615385
