scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
augmented-downtown,1,vehev2,allgreen,6479,217.87,10946.62,713.00,495.13,5.409739753063753,81.51482241943968,False,716.0666666666667,75298
augmented-downtown,1,vehev3,no-preemption,14368,14484.39,102097.56,15146.00,661.6100000000006,,,False,,251991
augmented-downtown,1,vehev2,rfid,32668,890.82,11160.34,1386.00,495.17999999999995,1.2228957589636515,18.226881345352407,False,142.0,106557
augmented-downtown,1,vehev7,no-preemption,16250,7489.15,89365.23,8138.00,648.8500000000004,,,False,,230188
augmented-downtown,1,vehev1,rfid,20276,26640.41,87202.07,27519.00,878.5900000000001,1.049254872578913,4.694271512683268,False,230.07272727272726,265315
augmented-downtown,1,vehev2,allgreen,11718,213.87,13893.98,709.00,495.13,5.120072941506522,80.46902824580148,False,714.6,75532
augmented-downtown,1,vehev7,no-preemption,16993,8697.28,51837.44,9346.00,648.7199999999993,,,False,,238617
augmented-downtown,1,vehev2,rfid,24847,841.64,15185.44,1337.00,495.36,1.1889762843971294,15.894033117149176,False,142.0,104700
augmented-downtown,1,vehev7,allgreen,6479,3377.31,25184.61,4026.00,648.69,3.27936138524447,69.50625800195387,False,4028.1627906976746,200198
augmented-downtown,1,vehev3,no-preemption,24847,10614.42,74150.78,11276.00,661.5799999999999,,,False,,240876
augmented-downtown,1,vehev7,tpn6,16993,5917.29,61513.80,6566.00,648.71,1.4698079695265909,31.963901357665847,False,1571.8837209302326,222329
augmented-downtown,1,vehev3,kapusta2,22570,12214.09,93848.21,12876.00,661.9099999999999,1.0163909059127614,1.612657671119333,False,3025.782608695652,247074
augmented-downtown,1,vehev7,fuzzy,24847,6711.27,39131.88,7174.00,462.72999999999956,1.0262021942195738,2.5533169162146097,False,37.11904761904762,228384
augmented-downtown,1,vehev3,fuzzy,16250,13535.60,104728.27,14006.00,470.39999999999964,-1.0461498984811983,-4.614989848119833,False,29.94736842105263,250183
augmented-downtown,1,vehev2,no-preemption,22760,1178.79,17251.30,1674.00,495.21000000000004,,,False,,116940
augmented-downtown,1,vehev3,kapustaimp,30616,745.13,26245.37,1407.00,661.87,17.02278796988445,94.12552161391464,False,144.3913043478261,106680
