scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev2,allgreen,6479,217.87,10946.62,713.00,495.13,5.409739753063753,81.51482241943968,False
augmented-downtown,vehev2,rfid,32668,890.82,11160.34,1386.00,495.17999999999995,1.2228957589636515,18.226881345352407,False
augmented-downtown,vehev1,rfid,20276,26640.41,87202.07,27519.00,878.5900000000001,1.049254872578913,4.694271512683268,False
augmented-downtown,vehev2,allgreen,11718,213.87,13893.98,709.00,495.13,5.120072941506522,80.46902824580148,False
augmented-downtown,vehev7,no-preemption,16993,8697.28,51837.44,9346.00,648.7199999999993,,,False
augmented-downtown,vehev2,rfid,24847,841.64,15185.44,1337.00,495.36,1.1889762843971294,15.894033117149176,False
augmented-downtown,vehev7,allgreen,6479,3377.31,25184.61,4026.00,648.69,3.27936138524447,69.50625800195387,False
augmented-downtown,vehev3,no-preemption,24847,10614.42,74150.78,11276.00,661.5799999999999,,,False
augmented-downtown,vehev7,fuzzy,24847,6711.27,39131.88,7174.00,462.72999999999956,1.0262021942195738,2.5533169162146097,False
augmented-downtown,vehev2,no-preemption,22760,1178.79,17251.30,1674.00,495.21000000000004,,,False
augmented-downtown,vehev3,no-preemption,10105,13764.50,92689.38,14426.00,661.5,,,False
augmented-downtown,vehev1,kapusta2,11718,29704.76,67731.23,30583.00,878.2400000000016,-1.0559740065836716,-5.597400658367158,False
augmented-downtown,vehev2,fuzzy,21907,1328.33,26295.83,1677.00,348.6700000000001,-1.21981523655598,-21.981523655598,False
augmented-downtown,vehev1,rfid,30616,25071.85,88177.43,25950.00,878.1500000000015,1.0220422505718567,2.1566868257670846,False
augmented-downtown,vehev3,kapusta2,32668,12013.03,90000.70,12675.00,661.9699999999993,1.0109481121748634,1.08295490569843,False
augmented-downtown,vehev3,rfid,30366,13356.17,77494.44,14018.00,661.8299999999999,-1.2287919700810075,-22.87919700810075,False
augmented-downtown,vehev1,rfid,17651,27716.64,90780.13,28595.00,878.3600000000006,-1.0211516759859895,-2.115167598598955,False
augmented-downtown,vehev2,tpn3,22760,214.74,12612.67,710.00,495.26,5.489382509080748,81.7830147863487,False
augmented-downtown,vehev7,fuzzy,32668,7823.70,36104.65,8287.00,463.3000000000002,-1.0062015463997078,-0.6201546399707825,False
augmented-downtown,vehev7,kapusta2,22760,7730.16,39620.86,8379.00,648.8400000000001,1.1978406656524574,16.51644257249312,False
