scenario,ev,step,lon,lat
augmented,vehev1,25200,-46.646748723142444,-23.63065045451148
augmented,vehev1,25201,-46.64673305976032,-23.630538481189813
augmented,vehev1,25202,-46.646711871649494,-23.630425077853207
augmented,vehev1,25203,-46.64668097786279,-23.630312422897894
augmented,vehev1,25204,-46.646648352103774,-23.63019896266631
augmented,vehev1,25205,-46.64660260024893,-23.6300839764326
augmented,vehev1,25206,-46.6465503199745,-23.62997634753718
augmented,vehev1,25207,-46.64649361258734,-23.629871914225703
augmented,vehev1,25208,-46.64642635708857,-23.629769200941
augmented,vehev1,25209,-46.64635390163554,-23.629677477595525
augmented,vehev1,25210,-46.646274915648085,-23.629586118741486
augmented,vehev1,25211,-46.646187289970655,-23.6295056542086
augmented,vehev1,25212,-46.646076806592376,-23.629441287451684
augmented,vehev1,25213,-46.64596153083469,-23.62937917772407
augmented,vehev1,25214,-46.64585124306689,-23.629319755349243
augmented,vehev1,25215,-46.64573775757565,-23.629259335250154
augmented,vehev1,25216,-46.64561928242781,-23.62920247866786
augmented,vehev1,25217,-46.64552687915018,-23.62912424080641
augmented,vehev1,25218,-46.64541044801671,-23.62905998771052
augmented,vehev1,25219,-46.64529550194611,-23.628996543009315
augmented,vehev1,25220,-46.64519168212404,-23.62892703770853
augmented,vehev1,25221,-46.64508467568625,-23.628855137916492
augmented,vehev1,25222,-46.64497616132022,-23.628791496030647
augmented,vehev1,25223,-46.6448669591759,-23.62872745063073
augmented,vehev1,25224,-46.644752316358336,-23.62866036220576
augmented,vehev1,25225,-46.644631087999535,-23.628607054614605
augmented,vehev1,25226,-46.644520004848005,-23.628542998190966
augmented,vehev1,25227,-46.644406769752834,-23.628477674641665
augmented,vehev1,25228,-46.64431662587358,-23.628391783545503
augmented,vehev1,25229,-46.644205519861316,-23.62832913462813
augmented,vehev1,25230,-46.64409993294273,-23.628269577271308
augmented,vehev1,25231,-46.6439840578925,-23.62820410713199
augmented,vehev1,25232,-46.64386909479921,-23.62813900931983
augmented,vehev1,25233,-46.643753657711194,-23.628073642952852
augmented,vehev1,25234,-46.64364584272207,-23.628012592466316
augmented,vehev1,25235,-46.64353032158983,-23.627947178207627
augmented,vehev1,25236,-46.64342415659265,-23.627887061756656
augmented,vehev1,25237,-46.64331703231514,-23.627826401974925
augmented,vehev1,25238,-46.64320619893486,-23.627763641749706
augmented,vehev1,25239,-46.64310105472801,-23.62769100815739
augmented,vehev1,25240,-46.642987528575354,-23.62764236588435
augmented,vehev1,25241,-46.642872629223,-23.6275773298643
augmented,vehev1,25242,-46.64275736032752,-23.62751208451822
augmented,vehev1,25243,-46.64264389117369,-23.627447857723443
augmented,vehev1,25244,-46.64253402177172,-23.627385668348055
augmented,vehev1,25245,-46.642427743872844,-23.62732551173685
augmented,vehev1,25246,-46.64231239312038,-23.627260219457682
augmented,vehev1,25247,-46.64219760393969,-23.627198741098123
augmented,vehev1,25248,-46.64208415460757,-23.627138125380412
augmented,vehev1,25249,-46.64197664237051,-23.62707994032117
augmented,vehev1,25250,-46.64186584754005,-23.627018779186198
augmented,vehev1,25251,-46.64175864191068,-23.62695946947124
augmented,vehev1,25252,-46.641646803844324,-23.626897596797967
augmented,vehev1,25253,-46.64152591638203,-23.626842452157614
augmented,vehev1,25254,-46.64140700126336,-23.62680374827304
augmented,vehev1,25255,-46.64128193376115,-23.626789531932086
augmented,vehev1,25256,-46.641158207274835,-23.62678453159616
augmented,vehev1,25257,-46.641081617869865,-23.626768884697945
augmented,vehev1,25258,-46.64103379283338,-23.626703877849785
