scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,vehev1,rfid,20276,724.11,1000.40,1452.00,727.89,1.788457554791399,44.085896960711636,False
sp,1,vehev1,kapusta2,11718,118.13,397.92,843.00,724.87,10.81681198679421,90.75513190743393,False
sp,1,vehev1,tpn4,22570,124.98,530.12,850.00,725.02,8.195551288206113,87.79825828874917,False
sp,1,vehev1,kapusta2,15239,115.35,535.17,842.00,726.65,8.727438231469442,88.54188395863754,False
sp,1,vehev1,rfid,30616,827.81,1026.14,1555.00,727.19,1.2390041193027388,19.29001813466452,False
sp,1,vehev1,tpn4,6325,105.12,536.80,832.00,726.88,12.163812785388128,91.77889352916334,False
sp,1,vehev1,fuzzy,16250,786.78,420.37,1312.00,525.22,1.279468212206716,21.842528758468603,False
sp,1,vehev1,rfid,17651,827.67,1102.42,1554.00,726.33,1.2371476554665508,19.168904731676363,False
sp,1,vehev1,rfid,6325,730.82,1075.08,1458.00,727.18,1.7496237103527543,42.84485320569972,False
sp,1,vehev1,no-preemption,16250,1006.66,333.60,1733.00,726.34,,,False
sp,1,vehev1,allgreen,22760,103.33,584.16,830.00,726.67,9.910771315203716,89.90996797125224,False
sp,1,vehev1,tpn4,27226,118.46,517.30,845.00,726.54,8.6659631943272,88.46060180991067,False
sp,1,vehev1,no-preemption,31737,1008.63,123.20,1734.00,725.37,,,False
sp,1,vehev1,allgreen,16993,97.99,614.04,823.00,725.01,13.052352280844985,92.33854573885849,False
sp,1,vehev1,allgreen,21907,99.79,626.36,826.00,726.21,10.117446637939672,90.11608327885739,False
sp,1,vehev1,kapusta2,10105,109.14,433.54,834.00,724.86,9.23318673263698,89.16950313086106,False
sp,1,vehev1,kapusta2,14368,116.27,514.50,843.00,726.73,8.668014105100198,88.46333210958197,False
sp,1,vehev1,allgreen,2094,98.69,550.32,825.00,726.31,10.224034856621746,90.21912567764443,False
sp,1,vehev1,kapusta2,6479,114.55,512.19,842.00,727.45,11.175905718027064,91.05217934697704,False
sp,1,vehev1,allgreen,14368,113.65,720.80,841.00,727.35,8.867839859216893,88.72329658771817,False
sp,1,vehev1,tpn4,21907,127.50,475.91,853.00,725.5,7.918588235294117,87.37148630177691,False
sp,1,vehev1,kapusta2,16993,118.37,402.61,845.00,726.63,10.805102644251077,90.74511336982017,False
sp,1,vehev1,rfid,4771,442.83,1044.00,1169.00,726.1700000000001,2.3134385655895042,56.774300607149144,False
sp,1,vehev1,rfid,6479,711.68,1076.56,1438.00,726.32,1.798842176258993,44.4086861427902,False
sp,1,vehev1,kapusta2,6325,109.61,551.60,835.00,725.39,11.665541465194782,91.42774467020162,False
sp,1,vehev1,no-preemption,22760,1024.08,113.94,1751.00,726.9200000000001,,,False
sp,1,vehev1,fuzzy,27548,780.55,401.89,1306.00,525.45,1.292537313432836,22.63279445727483,False
