scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,kapusta2,24149,109.39,,830.00,720.61,9.268123228814334,89.21032904600331,False
sp,1,veh11651,allgreen,24149,105.96,,827.00,721.04,9.568138920347302,89.54864672926695,False
sp,1,veh11651,rfid_dd!1000_nc!2,19226,261.48,,1096.00,834.52,3.869664983937586,74.15796963946869,False
sp,1,veh11651,djahel_wc!start_el!high,24847,814.65,,1280.00,465.35,1.255275271589026,20.336198550767158,False
sp,1,veh11651,rfid_dd!250_nc!5,30616,652.79,,1390.00,737.21,1.5497326858560947,35.47274254930065,False
sp,1,veh11651,allgreen,22570,103.23,,929.00,825.77,9.881042332655236,89.8796102037215,False
sp,1,veh11651,rfid_dd!250_nc!5,21907,551.14,,1403.00,851.86,1.931668904452589,48.23129379496909,False
sp,1,veh11651,djahel_wc!start_el!low,16250,666.28,,1373.00,706.72,1.5398931380200518,35.060428849902536,False
sp,1,veh11651,allgreen,3229,101.78,,910.00,808.22,10.195224995087445,90.1914866961558,False
sp,1,veh11651,rfid_dd!1000_nc!5,31737,344.27,,1220.00,875.73,3.811136607894966,73.76110848589241,False
sp,1,veh11651,rfid_dd!250_nc!2,30693,422.32,,1177.00,754.6800000000001,2.5340736881985224,60.53784841943954,False
sp,1,veh11651,rfid_dd!250_nc!2,19226,394.74,,1228.00,833.26,2.5633074935400515,60.98790322580645,False
sp,1,veh11651,petri_lc!True,25029,205.89,,777.00,571.11,5.304288697848365,81.14733083051003,False
sp,1,veh11651,rfid_dd!1000_nc!2,12837,403.14,,1111.00,707.86,2.762067768021035,63.795240233497985,False
sp,1,veh11651,rfid_dd!1000_nc!5,16250,331.86,,1039.00,707.14,3.091665160007232,67.65497076023392,False
sp,1,veh11651,no-preemption,29914,996.54,,1734.00,737.46,,,False
sp,1,veh11651,allgreen,2646,104.12,,842.00,737.88,9.548789857856319,89.52746876948764,False
sp,1,veh11651,rfid_dd!1000_nc!5,32556,401.14,,1139.00,737.86,3.201301291319739,68.76270275742309,False
sp,1,veh11651,rfid_dd!250_nc!5,20395,648.81,,1389.00,740.19,1.5562799586936085,35.74420884790984,False
sp,1,veh11651,no-preemption,11718,1007.84,,1676.00,668.16,,,False
sp,1,veh11651,kapusta2,5031,107.90,,838.00,730.1,9.309267840593142,89.2580166655052,False
sp,1,veh11651,rfid_dd!250_nc!2,10280,379.13,,1160.00,780.87,2.755387334159787,63.707461829320835,False
sp,1,veh11651,kapusta2,2094,100.03,,871.00,770.97,10.535339398180545,90.5081368316174,False
sp,1,veh11651,allgreen,227,130.29,,782.00,651.71,8.547471026172387,88.30063305347282,False
sp,1,veh11651,allgreen,10950,103.76,,817.00,713.24,9.825462606013877,89.8223621614729,False
sp,1,veh11651,no-preemption,16250,1026.00,,1734.00,708.0,,,False
sp,1,veh11651,rfid_dd!250_nc!5,13347,375.58,,1161.00,785.4200000000001,2.7704883114116834,63.90527995079478,False
sp,1,veh11651,djahel_wc!start_el!high,5031,842.60,,1370.00,527.4,1.192107761690007,16.114966101526175,False
sp,1,veh11651,allgreen,4771,118.44,,796.00,677.56,8.434481594056063,88.14390678492062,False
sp,1,veh11651,petri_lc!True,27548,106.17,,984.00,877.83,12.35688047471037,91.90734261736526,False
sp,1,veh11651,djahel_wc!start_el!low,31475,975.58,,1735.00,759.42,1.3684679882736421,26.925583311486456,False
