scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
oneintersection,1,vehev1,rfid,20276,1822.36,179.38,1973.00,150.6400000000001,1.063434228143726,5.965035398047435,False,150.0
oneintersection,1,vehev1,kapustaimp,10105,507.53,98.59,658.00,150.47000000000003,3.5154769176206337,71.5543573906659,False,665.0
oneintersection,1,vehev1,kapusta2,11718,1339.42,142.08,1490.00,150.57999999999993,1.5603022203640382,35.90985214603569,False,656.0
oneintersection,1,vehev1,kapusta2,15239,1903.44,227.97,2054.00,150.55999999999995,-1.0637368041623123,-6.373680416231231,False,1053.0
oneintersection,1,vehev1,rfid,30616,1950.67,203.03,2101.00,150.32999999999993,-1.0,0.0,False,150.0
oneintersection,1,vehev1,fuzzy,16250,2120.64,207.77,2229.00,108.36000000000013,-1.0956152451215921,-9.561524512159213,False,30.0
oneintersection,1,vehev1,rfid,17651,1945.49,220.58,2096.00,150.51,-1.0,0.0,False,150.0
oneintersection,1,vehev1,kapustaimp,17651,509.56,122.49,660.00,150.44,3.8179802182274902,73.80814087967555,False,667.0
oneintersection,1,vehev1,rfid,6325,1824.73,200.76,1975.00,150.26999999999998,1.0622174239476525,5.857315324053536,False,150.0
oneintersection,1,vehev1,no-preemption,16250,1935.57,205.43,2086.00,150.43000000000006,,,False,
oneintersection,1,vehev1,kapustaimp,30366,496.97,105.76,647.00,150.02999999999997,3.8891683602631946,74.2875620860927,False,647.0
oneintersection,1,vehev1,allgreen,22760,510.33,105.02,661.00,150.67000000000002,3.5119040620774795,71.52541805460237,False,668.0
oneintersection,1,vehev1,no-preemption,31737,1786.72,176.20,1937.00,150.27999999999997,,,False,
oneintersection,1,vehev1,allgreen,16993,458.74,111.77,609.00,150.26,4.253891092993853,76.4921109135352,False,616.0
oneintersection,1,vehev1,allgreen,21907,448.54,102.61,599.00,150.45999999999998,4.009831899050251,75.06129869841041,False,606.0
oneintersection,1,vehev1,kapusta2,10105,2210.07,190.52,2360.00,149.92999999999984,-1.2386826662780728,-23.868266627807277,False,1048.0
oneintersection,1,vehev1,kapusta2,14368,2328.93,193.77,2479.00,150.07000000000016,-1.1947397041019432,-19.47397041019432,False,1244.0
oneintersection,1,vehev1,kapustaimp,25029,476.75,91.42,627.00,150.25,4.08744625065548,75.53484648661409,False,627.0
oneintersection,1,vehev1,kapustaimp,20276,540.67,101.11,691.00,150.33000000000004,3.5843675439732188,72.10107535759252,False,698.0
oneintersection,1,vehev1,kapustaimp,22570,522.02,131.37,672.00,149.98000000000002,3.988582812919045,74.92843832247902,False,679.0
oneintersection,1,vehev1,allgreen,2094,509.08,110.24,659.00,149.92000000000002,3.512296692071973,71.52860114986241,False,666.0
oneintersection,1,vehev1,kapusta2,6479,1613.99,195.80,1764.00,150.01,1.198272603919479,16.546535677352637,False,792.0
oneintersection,1,vehev1,allgreen,14368,523.11,118.91,673.00,149.89,3.72640553612051,73.16448812919376,False,680.0
oneintersection,1,vehev1,kapusta2,16993,1548.48,159.30,1699.00,150.51999999999998,1.2602229282909692,20.64895999344071,False,956.0
oneintersection,1,vehev1,kapustaimp,27548,458.69,122.96,609.00,150.31,4.1998517517277465,76.18963575110438,False,616.0
oneintersection,1,vehev1,rfid,4771,1793.33,175.33,1944.00,150.67000000000007,-1.0,0.0,False,150.0
oneintersection,1,vehev1,rfid,6479,1819.12,211.27,1969.00,149.8800000000001,1.063151413870443,5.940020682523272,False,150.0
oneintersection,1,vehev1,kapusta2,6325,558.38,129.39,709.00,150.62,3.471220315913894,71.19168738972068,False,603.0
oneintersection,1,vehev1,no-preemption,22760,1792.23,161.11,1943.00,150.76999999999998,,,False,
oneintersection,1,vehev1,fuzzy,27548,1809.47,206.50,1918.00,108.52999999999997,1.064637711595108,6.071334021999242,False,30.0
oneintersection,1,vehev1,fuzzy,20276,1809.86,177.65,1919.00,109.1400000000001,1.070778955278309,6.610043550950495,False,30.0
oneintersection,1,vehev1,kapustaimp,15239,468.24,122.74,619.00,150.76,3.8215231505211005,73.83242333979736,False,619.0
oneintersection,1,vehev1,no-preemption,6325,1938.26,207.94,2089.00,150.74,,,False,
oneintersection,1,vehev1,fuzzy,32668,1958.70,214.14,2068.00,109.29999999999995,-1.0087967779483114,-0.8796777948311352,False,30.0
oneintersection,1,vehev1,fuzzy,22570,2249.75,223.10,2359.00,109.25,-1.0805092886096863,-8.050928860968632,False,30.0
oneintersection,1,vehev1,fuzzy,27226,1955.47,219.04,2064.00,108.52999999999997,-1.00868654668503,-0.8686546685030105,False,30.0
oneintersection,1,vehev1,allgreen,27548,458.69,129.62,609.00,150.31,4.1998517517277465,76.18963575110438,False,616.0
oneintersection,1,vehev1,kapusta2,2094,1534.49,165.92,1685.00,150.51,1.165234051704475,14.180331536207246,False,1038.0
oneintersection,1,vehev1,rfid,27548,1926.43,221.47,2077.00,150.56999999999994,-1.0,0.0,False,150.0
oneintersection,1,vehev1,fuzzy,31737,1793.28,196.55,1902.00,108.72000000000003,-1.003671532193069,-0.3671532193068927,False,30.0
oneintersection,1,vehev1,rfid,15239,1688.32,188.38,1839.00,150.68000000000006,1.0598642437452617,5.648293552551442,False,150.0
oneintersection,1,vehev1,no-preemption,4771,1793.33,186.43,1944.00,150.67000000000007,,,False,
oneintersection,1,vehev1,kapusta2,4771,1697.42,192.31,1848.00,150.57999999999993,1.0565033992765491,5.348151204742013,False,873.0
oneintersection,1,vehev1,rfid,25029,1948.69,144.26,2099.00,150.30999999999995,-1.0,0.0,False,150.0
oneintersection,1,vehev1,kapustaimp,2094,509.08,100.47,659.00,149.92000000000002,3.512296692071973,71.52860114986241,False,666.0
oneintersection,1,vehev1,allgreen,12811,530.10,117.32,680.00,149.89999999999998,3.934767025089606,74.58553470577517,False,687.0
oneintersection,1,vehev1,fuzzy,10105,1799.59,179.14,1908.00,108.41000000000008,-1.008620061539841,-0.8620061539841073,False,30.0
oneintersection,1,vehev1,kapusta2,30366,472.10,103.13,622.00,149.89999999999998,4.094047871213726,75.57429635761589,False,457.0
oneintersection,1,vehev1,fuzzy,14368,2107.25,168.57,2216.00,108.75,-1.0810179960191246,-8.101799601912463,False,30.0
oneintersection,1,vehev1,fuzzy,16993,2099.77,201.06,2209.00,109.23000000000002,-1.076016049768631,-7.601604976863108,False,30.0
oneintersection,1,vehev1,rfid,10105,1669.76,175.82,1820.00,150.24,1.0685427845917976,6.414603662124973,False,150.0
oneintersection,1,vehev1,allgreen,16250,484.17,119.33,635.00,150.82999999999998,3.9977074168164073,74.98566313799036,False,635.0
oneintersection,1,vehev1,kapusta2,24847,2481.08,246.09,2631.00,149.92000000000007,-1.280716062892952,-28.071606289295193,False,1041.0
oneintersection,1,vehev1,kapustaimp,27226,527.38,127.86,678.00,150.62,3.6759642003868183,72.79625302404276,False,685.0
oneintersection,1,vehev1,no-preemption,20276,1937.96,155.51,2088.00,150.03999999999996,,,False,
oneintersection,1,vehev1,no-preemption,30616,1950.67,179.06,2101.00,150.32999999999993,,,False,
oneintersection,1,vehev1,fuzzy,6325,1948.04,204.04,2057.00,108.96000000000004,-1.0050457626943754,-0.50457626943754,False,30.0
oneintersection,1,vehev1,kapusta2,27226,1760.73,215.62,1911.00,150.26999999999998,1.101037637797959,9.176583463579957,False,765.0
oneintersection,1,vehev1,allgreen,22570,522.02,126.33,672.00,149.98000000000002,3.988582812919045,74.92843832247902,False,679.0
oneintersection,1,vehev1,kapustaimp,11718,428.10,94.99,578.00,149.89999999999998,4.881803316982014,79.51576630460788,False,585.0
oneintersection,1,vehev1,allgreen,17651,509.56,125.11,660.00,150.44,3.8179802182274902,73.80814087967555,False,667.0
oneintersection,1,vehev1,no-preemption,22737,2102.48,216.85,2253.00,150.51999999999998,,,False,
oneintersection,1,vehev1,kapusta2,21907,821.55,119.46,972.00,150.45000000000005,2.189239851500213,54.3220447355399,False,808.0
oneintersection,1,vehev1,no-preemption,11718,2089.90,166.30,2240.00,150.0999999999999,,,False,
oneintersection,1,vehev1,allgreen,30616,487.44,113.17,638.00,150.56,4.001866896438536,75.01166265949648,False,638.0
oneintersection,1,vehev1,allgreen,10105,507.53,113.27,658.00,150.47000000000003,3.5154769176206337,71.5543573906659,False,665.0
oneintersection,1,vehev1,kapustaimp,24847,492.19,116.14,643.00,150.81,3.936000325077714,74.59349803330477,False,643.0
oneintersection,1,vehev1,kapusta2,25029,2358.90,172.15,2509.00,150.0999999999999,-1.2105055190923133,-21.05055190923133,False,1149.0
oneintersection,1,vehev1,kapustaimp,6479,485.04,118.44,635.00,149.95999999999998,3.987300016493485,74.92037228541881,False,635.0
oneintersection,1,vehev1,rfid,12811,1972.04,196.61,2122.00,149.96000000000004,1.0576965984462792,5.454928996749486,False,150.0
oneintersection,1,vehev1,allgreen,24847,492.19,122.13,643.00,150.81,3.936000325077714,74.59349803330477,False,643.0
oneintersection,1,vehev1,fuzzy,30366,1949.77,193.10,2059.00,109.23000000000002,-1.0087800082781457,-0.8780008278145734,False,30.0
oneintersection,1,vehev1,no-preemption,16993,1951.43,161.40,2102.00,150.56999999999994,,,False,
oneintersection,1,vehev1,kapusta2,16250,2300.80,241.29,2451.00,150.19999999999982,-1.188693769793911,-18.869376979391106,False,998.0
