scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
sumohighteleporttime,1,vehev1,tpnx,22737,4609.93,447.84,4664.00,54.06999999999971,1.0785630150566277,7.284044970937831,False,1432.0,37,0.29,4762.14,-17.14285714285715,-20.508031945583195,-48.0
sumohighteleporttime,1,vehev1,kapustaimp,10105,26214.73,745.94,26269.00,54.27000000000044,-5.515581177609223,-451.55811776092236,False,26269.0,455,0.17,15172.99,-51.42857142857142,-287.52675374296996,-1720.0
sumohighteleporttime,1,vehev1,kapustaimp,17651,26200.77,754.78,26255.00,54.22999999999956,-5.297108510707123,-429.71085107071235,False,26263.0,455,0.16,15295.22,-54.285714285714285,-290.01404999349774,-1720.0
sumohighteleporttime,1,vehev1,no-preemption,16250,4838.01,220.48,4892.00,53.98999999999978,,,False,,25,0.35,3921.91,,,
sumohighteleporttime,1,vehev1,kapustaimp,30366,32220.51,816.97,32275.00,54.4900000000016,-6.666703220533617,-566.6703220533617,False,32283.0,535,0.16,16900.87,-54.285714285714285,-329.1597788798236,-2039.9999999999998
sumohighteleporttime,1,vehev1,tpnx,10105,4465.07,419.21,4519.00,53.93000000000029,1.0644513971785439,6.054893379761628,False,1387.0,34,0.28,4892.08,-19.999999999999986,-24.94649251406007,-36.00000000000001
sumohighteleporttime,1,vehev1,no-preemption,31737,4971.02,206.99,5025.00,53.97999999999956,,,False,,25,0.35,3933.14,,,
sumohighteleporttime,1,vehev1,kapustaimp,25029,30120.41,807.24,30175.00,54.590000000000146,-6.335856843557791,-533.5856843557791,False,30183.0,511,0.16,16381.16,-54.285714285714285,-315.69690279522416,-1944.0000000000002
sumohighteleporttime,1,vehev1,kapustaimp,20276,34252.32,838.17,34307.00,54.68000000000029,-7.087395636115335,-608.7395636115335,False,34315.0,550,0.16,17417.73,-54.285714285714285,-344.50333931355857,-2100.0
sumohighteleporttime,1,vehev1,kapustaimp,22570,28227.76,791.85,28282.00,54.2400000000016,-5.669511354986171,-466.95113549861713,False,28290.0,475,0.16,15909.69,-54.285714285714285,-304.8483506752269,-1800.0
sumohighteleporttime,1,vehev1,kapustaimp,27548,35144.40,843.84,35199.00,54.599999999998545,-7.26280027113264,-626.280027113264,False,35207.0,571,0.16,17644.76,-54.285714285714285,-349.3991798894633,-2184.0
sumohighteleporttime,1,vehev1,no-preemption,22760,4538.78,220.10,4593.00,54.220000000000255,,,False,,25,0.35,3909.09,,,
sumohighteleporttime,1,vehev1,kapustaimp,15239,28177.68,777.95,28232.00,54.31999999999971,-5.752848078006713,-475.28480780067133,False,28240.0,476,0.16,15826.56,-54.285714285714285,-301.2392189472723,-1804.0
sumohighteleporttime,1,vehev1,tpnx,27226,4609.97,386.20,4664.00,54.029999999999745,1.078720685817912,7.297596760019864,False,1396.0,31,0.28,4821.34,-19.999999999999986,-22.698827559353706,-24.0
sumohighteleporttime,1,vehev1,no-preemption,6325,4758.57,218.82,4813.00,54.43000000000029,,,False,,24,0.35,3922.11,,,
sumohighteleporttime,1,vehev1,tpnx,20276,4694.92,447.15,4749.00,54.07999999999993,1.02937856236102,2.8540095388849274,False,1341.0,32,0.29,4729.60,-17.14285714285715,-20.700171240305544,-28.000000000000004
sumohighteleporttime,1,vehev1,tpnx,22760,4682.06,388.76,4736.00,53.9399999999996,-1.031567954384218,-3.1567954384218,False,1340.0,29,0.29,4750.04,-17.14285714285715,-21.51267942155335,-15.999999999999993
sumohighteleporttime,1,vehev1,no-preemption,4771,4756.65,221.05,4811.00,54.350000000000364,,,False,,25,0.35,3918.78,,,
sumohighteleporttime,1,vehev1,kapustaimp,2094,26202.01,743.39,26256.00,53.9900000000016,-5.266047652065559,-426.60476520655595,False,26264.0,454,0.17,15156.26,-51.42857142857142,-286.12904376359813,-1716.0
sumohighteleporttime,1,vehev1,tpnx,22570,4682.72,456.95,4737.00,54.279999999999745,1.0632431578228037,5.948136826227635,False,1379.0,33,0.29,4840.02,-17.14285714285715,-23.162306382783825,-32.00000000000001
