scenario,ev,step,lon,lat
sp,vehev1,1800,-46.61948560781877,-23.567110317194693
sp,vehev1,1801,-46.61945858947142,-23.56714889760667
sp,vehev1,1802,-46.61943480569946,-23.567182859237555
sp,vehev1,1803,-46.61940838200637,-23.567220590475152
sp,vehev1,1804,-46.619384998403795,-23.567253980649433
sp,vehev1,1805,-46.61935888448667,-23.567291269501887
sp,vehev1,1806,-46.619335992196675,-23.567323958075544
sp,vehev1,1807,-46.6193069743373,-23.56736539350296
sp,vehev1,1808,-46.619284099729285,-23.567398056785766
sp,vehev1,1809,-46.61925850861636,-23.567434599018718
sp,vehev1,1810,-46.619232682310646,-23.56747147706612
sp,vehev1,1811,-46.61920514254551,-23.56751080178025
sp,vehev1,1812,-46.61919304390887,-23.56755624394898
sp,vehev1,1813,-46.61922317690579,-23.567616008550182
sp,vehev1,1814,-46.619271817354914,-23.567680558810995
sp,vehev1,1815,-46.6193284442406,-23.567755707688672
sp,vehev1,1816,-46.61939562477503,-23.56784486204444
sp,vehev1,1817,-46.619471988335825,-23.56794620287512
sp,vehev1,1818,-46.61954254050434,-23.568039831320714
sp,vehev1,1819,-46.61960595223292,-23.568123983674994
sp,vehev1,1820,-46.61965143980064,-23.568184349170405
sp,vehev1,1821,-46.61970780544449,-23.568218484745564
sp,vehev1,1822,-46.619773903730064,-23.568211096842226
sp,vehev1,1823,-46.61985421321809,-23.56819611752492
sp,vehev1,1824,-46.619948719993594,-23.56817849007416
sp,vehev1,1825,-46.620065924210486,-23.56815662899989
sp,vehev1,1826,-46.62019840895945,-23.56813191766812
sp,vehev1,1827,-46.620293686872046,-23.56811414615835
sp,vehev1,1828,-46.62035541897142,-23.568102631676595
sp,vehev1,1829,-46.62043586744068,-23.568087386465734
sp,vehev1,1830,-46.620540075599855,-23.568067357452655
sp,vehev1,1831,-46.62066887212563,-23.568043460924354
sp,vehev1,1832,-46.620795623272905,-23.56802074955587
sp,vehev1,1833,-46.620923071963276,-23.567997929850254
sp,vehev1,1834,-46.621051200850246,-23.56797498500307
sp,vehev1,1835,-46.62117784797732,-23.567952296155678
sp,vehev1,1836,-46.621305344088526,-23.56792945510172
sp,vehev1,1837,-46.621433962490634,-23.567906412875416
sp,vehev1,1838,-46.62156731044694,-23.567882523221037
sp,vehev1,1839,-46.62170027134237,-23.56785866674279
sp,vehev1,1840,-46.62182402668043,-23.56783582665397
sp,vehev1,1841,-46.62195378744797,-23.567812301912355
sp,vehev1,1842,-46.62208046545468,-23.567789498145043
sp,vehev1,1843,-46.62220659797779,-23.567766816343234
sp,vehev1,1844,-46.6223312024831,-23.567744414913804
sp,vehev1,1845,-46.622454193658555,-23.567722303424883
sp,vehev1,1846,-46.6225802032408,-23.567699649175957
sp,vehev1,1847,-46.622703023340584,-23.567677568233712
sp,vehev1,1848,-46.62282975624863,-23.56765478372745
sp,vehev1,1849,-46.622952709911566,-23.567632678562518
sp,vehev1,1850,-46.62308095790965,-23.567609621447716
