scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported,avg_trip_speed,avg_trip_timeloss,avg_trip_speed_perc,avg_trip_timeloss_perc,teleported_perc
turin,2,vehev2,allgreen,6479,77.15,9588.05,920.00,842.85,6.016072585871678,83.37786012840954,False,921.7368421052631,4463,6.07,373.56,2.533783783783794,13.725490196078438,29.948202793909907
turin,2,vehev6,no-preemption,15239,5785.05,35491.53,6779.00,993.9499999999998,,,False,,65759,3.48,3730.98,,,
turin,2,vehev3,no-preemption,14368,8766.30,47714.93,9760.00,993.7000000000007,,,False,,43491,5.18,1879.91,,,
turin,2,vehev2,rfid,32668,255.85,12432.48,1098.00,842.15,1.3680281414891537,26.902088511756805,False,211.31578947368422,5131,6.01,399.35,0.5016722408026641,3.3822853410108045,8.013624955181065
turin,2,vehev5,fuzzy,32668,2364.96,37339.56,2927.00,562.04,-2.2053993565533645,-120.53993565533645,False,41.78947368421053,35517,4.22,1836.39,-7.658643326039394,-17.2595444706243,-49.64607735737761
turin,2,vehev1,rfid,20276,2385.03,34296.54,3130.00,744.9699999999998,1.8326687714619943,45.43476619606174,False,265.1714285714286,21751,5.45,768.32,3.6121673003802313,41.51747655583973,37.61723119281842
turin,2,vehev2,allgreen,11718,83.34,10012.91,926.00,842.66,5.319414446844252,81.20093837408643,False,927.7894736842105,4426,6.06,373.06,2.020202020202011,13.023407628462191,28.658929722759506
turin,2,vehev2,rfid,24847,208.27,14185.19,1051.00,842.73,1.699572670091708,41.16168036839281,False,211.31578947368422,4997,6.01,393.69,0.670016750418756,5.187486453290957,12.163824925294431
turin,2,vehev3,no-preemption,24847,10347.32,53770.93,11342.00,994.6800000000003,,,False,,44679,5.17,1987.17,,,
turin,2,vehev3,kapusta2,22570,6261.91,46336.06,7255.00,993.0900000000001,1.4760384611085116,32.25108787145049,False,2049.030303030303,42136,5.19,1711.88,-0.5747126436781436,7.673555680200195,1.7511133910042664
turin,2,vehev6,fuzzy,30616,3297.05,33232.77,3960.00,662.9499999999998,1.9280811634643087,48.13496345749081,False,47.303030303030305,47105,3.77,2390.14,10.233918128654974,40.088032846880004,31.594080829497106
turin,2,vehev4,kapusta2,25029,3819.26,65338.64,4564.00,744.7399999999998,1.4511135665024115,31.087406038778965,False,903.5142857142857,52306,3.61,2722.12,4.335260115606943,23.529081265731755,19.032213123635856
turin,2,vehev3,fuzzy,16250,10455.24,56263.18,11118.00,662.7600000000002,-1.4694541851427607,-46.94541851427607,False,47.303030303030305,44741,5.16,1971.58,-0.3861003861003742,-8.874739765968842,-2.522914757103578
turin,2,vehev3,tpnx,32668,935.81,16590.64,1930.00,994.19,9.569303597952576,89.54991876092261,False,588.6363636363636,10645,5.72,541.33,9.999999999999986,71.78089047130025,75.92446002487844
turin,2,vehev2,no-preemption,22760,449.37,15238.86,1292.00,842.63,,,False,,6281,5.94,429.83,,,
turin,2,vehev4,kapusta2,27226,5047.08,87842.15,5791.00,743.9200000000001,-1.0301004163605192,-3.010041636051919,False,956.7714285714286,61675,3.48,3337.64,-0.8547008547008517,-2.892903384918921,-4.159629804769294
turin,2,vehev1,tpnx,22737,214.88,9769.75,959.00,744.12,12.032390171258378,91.68909929143847,False,434.51428571428573,4616,6.06,378.69,11.192660550458712,54.20088286871862,80.23041672020214
turin,2,vehev6,rfid,32668,7290.74,55299.64,8285.00,994.2600000000002,1.1101067930004362,9.918576635571764,False,238.33333333333334,73209,3.38,4376.81,0.8955223880596996,6.413027906250712,3.755948781321483
turin,2,vehev3,kapustaimp,30616,900.45,17613.23,1894.00,993.55,13.921394858126492,92.81681174773763,False,268.72727272727275,10081,5.75,530.18,10.576923076923084,73.10028159009615,77.42773336915877
