scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
turin,2,vehev2,allgreen,6479,74.42,3049.13,916.00,841.58,4.953372749260951,79.81173534438327,False,917.7368421052631,2587
turin,2,vehev6,no-preemption,15239,23866.96,48427.58,24861.00,994.0400000000009,,,False,,92387
turin,2,vehev3,no-preemption,14368,6078.49,16101.15,7072.00,993.5100000000002,,,False,,29010
turin,2,vehev2,rfid,32668,133.42,4401.11,975.00,841.58,2.635511917253785,62.05670733441402,False,211.31578947368422,2648
turin,2,vehev5,fuzzy,32668,1712.26,10556.05,2274.00,561.74,-1.154856811406526,-15.485681140652607,False,42.333333333333336,19799
turin,2,vehev6,tpn4,32668,8135.92,29677.06,9130.00,994.0799999999999,2.0813847727116292,51.95506313341577,False,1466.7575757575758,69307
turin,2,vehev1,rfid,20276,736.20,6858.47,1479.00,742.8,1.6596848682423253,39.747597924475784,False,265.1714285714286,4274
turin,2,vehev2,allgreen,11718,70.91,3106.72,912.00,841.09,5.054435199548724,80.21539577578751,False,913.7368421052631,2480
turin,2,vehev2,rfid,24847,140.10,3342.23,982.00,841.9,2.5140613847251965,60.223723808983024,False,211.31578947368422,2649
turin,2,vehev3,no-preemption,24847,6641.69,16148.03,7636.00,994.3100000000004,,,False,,31343
turin,2,vehev3,kapusta2,22570,11425.77,21512.55,12419.00,993.2299999999996,-1.9997917206326095,-99.97917206326095,False,2042.5151515151515,39993
turin,2,vehev6,fuzzy,30616,16476.80,42119.66,17140.00,663.2000000000007,-1.0143614191997792,-1.436141919977918,False,47.303030303030305,87003
turin,2,vehev4,kapusta2,25029,6784.67,28160.49, 7529.00,744.3299999999999,1.1888433777914031,15.884630500464292,False,1523.8857142857144,61682
turin,2,vehev3,fuzzy,16250,8063.38,16510.72,8726.00,662.6199999999999,1.2293269075747393,18.654672419654727,False,47.303030303030305,32897
turin,2,vehev2,no-preemption,22760,341.30,4028.12,1183.00,841.7,,,False,,3283
turin,2,vehev4,kapusta2,27226,10446.04,34366.30,11191.00,744.9599999999991,-1.2307978711496477,-23.079787114964766,False,2949.114285714286,76261
