scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime
turinkap,1,vehev2,allgreen,6479,81.10,4941.87,924.00,842.9,10.525030826140569,90.49884017901076,False,925.7894736842105
turinkap,1,vehev6,no-preemption,15239,3489.81,24553.86,4484.00,994.19,,,False,
turinkap,1,vehev3,no-preemption,14368,10920.87,37655.18,11914.00,993.1299999999992,,,False,
turinkap,1,vehev2,rfid,32668,454.78,6561.55,1297.00,842.22,2.1174633888913323,52.77368169640076,False,211.31578947368422
turinkap,1,vehev5,fuzzy,32668,1571.01,15191.45,2132.00,560.99,-1.8293722416945166,-82.93722416945167,False,41.78947368421053
turinkap,1,vehev1,rfid,20276,5003.56,27768.31,5748.00,744.4399999999996,-1.1167887936325835,-11.678879363258353,False,265.1714285714286
turinkap,1,vehev2,allgreen,11718,82.57,5199.26,924.00,841.4300000000001,10.319849824391426,90.30993651054442,False,925.7894736842105
turinkap,1,vehev2,rfid,24847,556.32,6971.48,1399.00,842.68,1.207003163646822,17.150175731220585,False,211.31578947368422
turinkap,1,vehev3,no-preemption,24847,11869.55,45673.43,12864.00,994.4500000000007,,,False,
turinkap,1,vehev3,kapusta2,22570,5114.16,35544.47,6109.00,994.8400000000001,2.4509264473540133,59.199101993469185,False,1488.2727272727273
turinkap,1,vehev6,fuzzy,30616,6539.16,43457.14,7203.00,663.8400000000001,-1.3136330033427617,-31.36330033427617,False,47.303030303030305
turinkap,1,vehev4,kapusta2,25029,3113.51,20150.86,3858.00,744.4899999999998,1.9804432939030225,49.50625432807936,False,1072.6571428571428
turinkap,1,vehev3,fuzzy,16250,11609.66,38445.89,12273.00,663.3400000000001,1.0224390722898,2.194661070565962,False,47.303030303030305
turinkap,1,vehev2,no-preemption,22760,665.23,7296.07,1508.00,842.77,,,False,
turinkap,1,vehev4,kapusta2,27226,4646.41,29591.82,5390.00,743.5900000000001,-1.1167805140678855,-11.678051406788548,False,1082.057142857143
turinkap,1,vehev6,rfid,32668,4114.97,36013.81,5110.00,995.0299999999997,1.4060588534059786,28.87922169277328,False,238.33333333333334
turinkap,1,vehev3,kapustaimp,30616,1344.74,15853.46,2338.00,993.26,9.14032452369975,89.05946941591492,False,309.42424242424244
turinkap,1,vehev3,no-preemption,10105,15768.42,49230.68,16762.00,993.5799999999999,,,False,
turinkap,1,vehev6,kapusta2,6325,3224.05,27406.22,4217.00,992.9499999999998,1.617574169135094,38.17903258589415,False,1455.060606060606
turinkap,1,vehev1,kapustaimp,10105,5566.94,22297.47,6313.00,746.0600000000004,-1.0459552641220513,-4.595526412205131,False,861.4857142857143
turinkap,1,vehev1,kapusta2,11718,4071.28,18636.49,4816.00,744.7199999999998,1.3073308640034584,23.508269594608556,False,1015.9428571428572
turinkap,1,vehev6,kapustaimp,30616,594.04,16197.35,1587.00,992.96,8.379772405898594,88.06650167138082,False,203.15151515151516
turinkap,1,vehev5,no-preemption,4771,1068.29,10575.58,1909.00,840.71,,,False,
turinkap,1,vehev2,fuzzy,21907,1317.63,9031.74,1879.00,561.3699999999999,-1.5413401024729196,-54.13401024729196,False,41.78947368421053
turinkap,1,vehev6,fuzzy,6479,1744.56,19024.79,2408.00,663.44,2.3291603613518594,57.066073397385416,False,47.303030303030305
turinkap,1,vehev5,allgreen,22570,74.63,8468.29,917.00,842.37,15.787618920005361,93.66592261273266,False,918.7368421052631
turinkap,1,vehev6,fuzzy,15239,2947.16,19882.22,3609.00,661.8400000000001,1.1841264132249352,15.549557139213888,False,47.303030303030305
turinkap,1,vehev1,kapusta2,15239,4014.82,16712.72,4758.00,743.1799999999998,1.404493850284695,28.79997304386225,False,1020.0571428571428
turinkap,1,vehev3,kapusta2,27548,8285.39,49434.39,9280.00,994.6100000000006,1.7654473718195525,43.35713338374095,False,1705.939393939394
turinkap,1,vehev4,kapusta2,10105,4321.95,41182.92,5066.00,744.0500000000002,1.1585256654982128,13.68339694313464,False,1080.3428571428572
turinkap,1,vehev5,no-preemption,22737,961.83,11558.20,1803.00,841.17,,,False,
turinkap,1,vehev1,rfid,30616,5534.17,29827.15,6278.00,743.8299999999999,1.1712542260176322,14.621439326619267,False,265.1714285714286
turinkap,1,vehev4,kapusta2,22737,4076.16,31010.21,4820.00,743.8400000000001,1.8232086081017427,45.151641147572086,False,1055.2
turinkap,1,vehev3,kapusta2,32668,6080.20,47174.61,7074.00,993.8000000000002,1.3281405216933653,24.70676229914208,False,1192.939393939394
turinkap,1,vehev2,kapustaimp,22570,113.44,5017.00,956.00,842.56,7.530236248236954,86.72020416047201,False,90.84210526315789
turinkap,1,vehev2,fuzzy,22570,1288.52,8045.10,1850.00,561.48,-1.5083993772169086,-50.839937721690866,False,41.78947368421053
turinkap,1,vehev4,kapustaimp,4771,4350.73,23911.60,5095.00,744.2700000000004,1.1755383579307381,14.932592947433253,False,673.2857142857143
turinkap,1,vehev6,fuzzy,11718,2812.91,31975.14,3476.00,663.0900000000001,1.1071026090418818,9.674135727543042,False,47.303030303030305
turinkap,1,vehev1,fuzzy,16250,5403.24,17944.43,5900.00,496.7600000000002,1.4688372161888053,31.91893635465597,False,53.666666666666664
turinkap,1,vehev5,kapustaimp,30616,102.70,8455.48,945.00,842.3,10.363680623174293,90.35091840090196,False,90.15789473684211
turinkap,1,vehev3,rfid,30366,9348.09,45274.83,10342.00,993.9099999999999,1.4836517406229508,32.59873778868595,False,238.33333333333334
turinkap,1,vehev5,no-preemption,20276,1065.66,16121.13,1907.00,841.3399999999999,,,False,
turinkap,1,vehev5,fuzzy,21907,1389.35,15087.12,1951.00,561.6500000000001,-1.633683740181553,-63.36837401815529,False,41.78947368421053
turinkap,1,vehev6,allgreen,30366,1281.70,17648.40,2276.00,994.3,2.3440976827650775,57.339661766125346,False,2278.4848484848485
turinkap,1,vehev5,no-preemption,15239,856.50,11038.04,1699.00,842.5,,,False,
turinkap,1,vehev1,rfid,17651,5112.43,25693.05,5857.00,744.5699999999997,-1.001496633553976,-0.14966335539758902,False,265.1714285714286
turinkap,1,vehev4,kapustaimp,31737,2555.49,29397.59,3301.00,745.5100000000002,1.796833483989372,44.346540238120646,False,236.28571428571428
turinkap,1,vehev6,kapusta2,16250,6415.44,24637.72,7409.00,993.5600000000004,-2.1036574568968343,-110.36574568968342,False,1246.5151515151515
turinkap,1,vehev1,kapustaimp,17651,5197.60,21656.87,5941.00,743.3999999999996,-1.0181809633696979,-1.8180963369697878,False,823.2571428571429
turinkap,1,vehev5,no-preemption,14368,754.32,9055.71,1596.00,841.68,,,False,
turinkap,1,vehev6,allgreen,15239,1871.83,22001.20,2866.00,994.1700000000001,1.8643840519705315,46.36298251194191,False,2869.2727272727275
turinkap,1,vehev6,fuzzy,16993,2426.48,23211.77,3090.00,663.52,2.0834501005571857,52.00269016605841,False,47.303030303030305
